datetime,temp,dew,humidity,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,labels
2022-01-01T00:00:00,16.0,13.0,82.39,,5.4,5.4,329.99999999999994,1025.0,21.0,10.0,0.0,0.0,0.0,0
2022-01-01T01:00:00,15.9,13.8,87.7,,6.4,6.4,319.0,1024.5,85.4,9.8,0.0,0.0,0.0,0
2022-01-01T02:00:00,15.0,13.0,87.84,,5.4,5.4,360.0,1024.0,89.0,10.0,0.0,0.0,0.0,0
2022-01-01T03:00:00,15.0,13.0,87.84,,1.8,1.8,7.899999999999993,1023.0,50.0,10.0,0.0,0.0,0.0,0
2022-01-01T04:00:00,14.9,12.7,86.98,,4.0,4.0,347.00000000000006,1023.3,90.0,10.0,0.0,0.0,0.0,0
2022-01-01T05:00:00,16.0,13.0,82.39,,1.8,1.8,40.0,1023.0,89.0,10.0,0.0,0.0,0.0,0
2022-01-01T06:00:00,15.0,13.0,87.84,,1.8,1.8,351.8,1024.0,27.500000000000004,10.0,7.2,0.0,0.0,0
2022-01-01T07:00:00,16.0,13.9,87.22,,6.8,6.8,327.99999999999994,1024.3,100.0,10.0,102.1,0.4,1.0,0
2022-01-01T08:00:00,16.0,13.0,82.39,,5.4,5.4,10.0,1025.0,100.0,10.0,263.8,0.9,3.0,0
2022-01-01T09:00:00,17.0,13.0,77.31,,7.6,7.6,350.00000000000006,1026.0,100.0,10.0,418.3,1.5,4.0,0
2022-01-01T10:00:00,17.0,13.3,78.55,,6.5,6.5,320.0,1026.5,100.0,10.0,493.0,1.8,5.0,0
2022-01-01T11:00:00,17.0,13.0,77.31,,11.2,11.2,10.0,1026.0,100.0,9.0,527.3,1.9,5.0,0
2022-01-01T12:00:00,17.0,13.0,77.31,,13.0,13.0,50.0,1025.0,100.0,9.0,516.5,1.9,5.0,0
2022-01-01T13:00:00,18.1,12.5,69.85,,8.4,8.4,334.99999999999994,1023.6,97.8,9.2,436.0,1.6,4.0,0
2022-01-01T14:00:00,17.0,13.0,77.31,,14.8,14.8,20.0,1023.0,89.0,5.0,340.5,1.2,3.0,0
2022-01-01T15:00:00,16.0,13.0,82.39,,14.8,14.8,30.0,1023.0,89.0,4.0,201.9,0.7,2.0,0
2022-01-01T16:00:00,17.1,13.1,77.51,,6.2,6.2,332.99999999999994,1022.4,97.8,9.2,68.3,0.2,1.0,0
2022-01-01T17:00:00,16.0,13.0,82.39,,9.4,9.4,10.0,1023.0,100.0,10.0,2.9,0.0,0.0,0
2022-01-01T18:00:00,16.0,12.0,77.16,,13.0,13.0,20.0,1023.0,100.0,10.0,0.0,0.0,0.0,0
2022-01-01T19:00:00,16.5,13.1,80.09,,10.9,10.9,3.999999999999996,1024.2,100.0,10.0,0.0,0.0,0.0,0
2022-01-01T20:00:00,16.0,12.0,77.16,,11.2,11.2,30.0,1025.0,100.0,10.0,0.0,0.0,0.0,0
2022-01-01T21:00:00,16.0,12.0,77.16,,11.2,11.2,40.0,1025.0,89.0,10.0,0.0,0.0,0.0,0
2022-01-01T22:00:00,16.3,12.3,77.23,,4.8,4.8,336.0000000000001,1025.4,97.8,10.0,0.0,0.0,0.0,0
2022-01-01T23:00:00,16.0,12.0,77.16,,11.2,11.2,30.0,1025.0,100.0,10.0,0.0,0.0,0.0,0
2022-01-02T00:00:00,16.0,12.0,77.16,,11.2,11.2,20.0,1025.0,100.0,10.0,0.0,0.0,0.0,0
