name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Giải Phóng",2022-01-01T00:00:00,16.0,16.0,13.0,82.39,0.0,0,,,,,5.4,330.0,1025.0,21.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T01:00:00,15.9,15.9,13.8,87.7,0.0,0,,,,,6.4,319.0,1024.5,85.4,9.8,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T02:00:00,15.0,15.0,13.0,87.84,0.0,0,,,,,5.4,360.0,1024.0,89.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T03:00:00,15.0,15.0,13.0,87.84,0.0,0,,,,,1.8,7.9,1023.0,50.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T04:00:00,14.9,14.9,12.7,86.98,0.0,0,,,,,4.0,347.0,1023.3,90.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T05:00:00,16.0,16.0,13.0,82.39,0.0,0,,,,,1.8,40.0,1023.0,89.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T06:00:00,15.0,15.0,13.0,87.84,0.0,0,,,,,1.8,351.8,1024.0,27.5,10.0,7.2,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T07:00:00,16.0,16.0,13.9,87.22,0.0,0,,,,,6.8,328.0,1024.3,100.0,10.0,102.1,0.4,1.0,,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T08:00:00,16.0,16.0,13.0,82.39,0.0,0,,,,,5.4,10.0,1025.0,100.0,10.0,263.8,0.9,3.0,,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T09:00:00,17.0,17.0,13.0,77.31,0.0,0,,,,,7.6,350.0,1026.0,100.0,10.0,418.3,1.5,4.0,,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T10:00:00,17.0,17.0,13.3,78.55,0.0,0,,,,,6.5,320.0,1026.5,100.0,10.0,493.0,1.8,5.0,,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T11:00:00,17.0,17.0,13.0,77.31,0.0,0,,,,,11.2,10.0,1026.0,100.0,9.0,527.3,1.9,5.0,,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T12:00:00,17.0,17.0,13.0,77.31,0.0,0,,,,,13.0,50.0,1025.0,100.0,9.0,516.5,1.9,5.0,,Overcast,cloudy,"48820099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T13:00:00,18.1,18.1,12.5,69.85,0.0,0,,,,,8.4,335.0,1023.6,97.8,9.2,436.0,1.6,4.0,,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
"Hà Nội, Giải Phóng",2022-01-01T14:00:00,17.0,17.0,13.0,77.31,0.0,0,,,,,14.8,20.0,1023.0,89.0,5.0,340.5,1.2,3.0,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
